1747658805530	geckodriver	INFO	Listening on 127.0.0.1:4444
1747658806143	geckodriver::marionette	TRACE	Retrying in 100ms
1747658806244	geckodriver::browser	TRACE	Failed to open /var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll/MarionetteActivePort
1747658806245	geckodriver::marionette	TRACE	Retrying in 100ms
1747658806403	geckodriver::browser	TRACE	Failed to open /var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll/MarionetteActivePort
1747658806404	geckodriver::marionette	TRACE	Retrying in 100ms
1747658806508	geckodriver::browser	TRACE	Failed to open /var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll/MarionetteActivePort
1747658806508	geckodriver::marionette	TRACE	Retrying in 100ms
1747658806620	geckodriver::browser	TRACE	Failed to open /var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll/MarionetteActivePort
1747658806623	geckodriver::marionette	TRACE	Retrying in 100ms
1747658806729	geckodriver::browser	TRACE	Failed to open /var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll/MarionetteActivePort
1747658806729	geckodriver::marionette	TRACE	Retrying in 100ms
1747658806935	geckodriver::browser	TRACE	Failed to open /var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll/MarionetteActivePort
1747658806938	geckodriver::marionette	TRACE	Retrying in 100ms
1747658807040	geckodriver::browser	TRACE	Failed to open /var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll/MarionetteActivePort
1747658807040	geckodriver::marionette	TRACE	Retrying in 100ms
1747658807173	geckodriver::browser	TRACE	Failed to open /var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll/MarionetteActivePort
1747658807173	geckodriver::marionette	TRACE	Retrying in 100ms
1747658807286	geckodriver::browser	TRACE	Failed to open /var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll/MarionetteActivePort
1747658807301	geckodriver::marionette	TRACE	Retrying in 100ms
1747658807404	geckodriver::browser	TRACE	Failed to open /var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll/MarionetteActivePort
1747658807404	geckodriver::marionette	TRACE	Retrying in 100ms
1747658807517	geckodriver::browser	TRACE	Failed to open /var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll/MarionetteActivePort
1747658807517	geckodriver::marionette	TRACE	Retrying in 100ms
1747658807621	geckodriver::browser	TRACE	Failed to open /var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll/MarionetteActivePort
1747658807622	geckodriver::marionette	TRACE	Retrying in 100ms
1747658807723	geckodriver::browser	TRACE	Failed to open /var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll/MarionetteActivePort
1747658807723	geckodriver::marionette	TRACE	Retrying in 100ms
1747658807825	geckodriver::browser	TRACE	Failed to open /var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll/MarionetteActivePort
1747658807826	geckodriver::marionette	TRACE	Retrying in 100ms
1747658807935	geckodriver::browser	TRACE	Failed to open /var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll/MarionetteActivePort
1747658807935	geckodriver::marionette	TRACE	Retrying in 100ms
1747658808037	geckodriver::browser	TRACE	Failed to open /var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll/MarionetteActivePort
1747658808037	geckodriver::marionette	TRACE	Retrying in 100ms
1747658808139	geckodriver::browser	TRACE	Failed to open /var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll/MarionetteActivePort
1747658808139	geckodriver::marionette	TRACE	Retrying in 100ms
1747658808242	geckodriver::browser	TRACE	Failed to open /var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll/MarionetteActivePort
1747658808243	geckodriver::marionette	TRACE	Retrying in 100ms
1747658808352	geckodriver::browser	TRACE	Failed to open /var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll/MarionetteActivePort
1747658808353	geckodriver::marionette	TRACE	Retrying in 100ms
1747658808461	geckodriver::browser	TRACE	Failed to open /var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll/MarionetteActivePort
1747658808461	geckodriver::marionette	TRACE	Retrying in 100ms
1747658808563	geckodriver::browser	TRACE	Failed to open /var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll/MarionetteActivePort
1747658808563	geckodriver::marionette	TRACE	Retrying in 100ms
1747658808685	geckodriver::browser	TRACE	Failed to open /var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll/MarionetteActivePort
1747658808685	geckodriver::marionette	TRACE	Retrying in 100ms
1747658808787	geckodriver::browser	TRACE	Failed to open /var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll/MarionetteActivePort
1747658808787	geckodriver::marionette	TRACE	Retrying in 100ms
1747658808949	geckodriver::browser	TRACE	Failed to open /var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll/MarionetteActivePort
1747658808949	geckodriver::marionette	TRACE	Retrying in 100ms
1747658809061	geckodriver::browser	TRACE	Failed to open /var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll/MarionetteActivePort
1747658809062	geckodriver::marionette	TRACE	Retrying in 100ms
1747658809163	geckodriver::browser	TRACE	Failed to open /var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll/MarionetteActivePort
1747658809163	geckodriver::marionette	TRACE	Retrying in 100ms
